Effect_Size_Type_Outcome_1,Effect_Size_Type_Outcome_2,Effect_Size_Type_Outcome_3,Effect_Size_Type_Outcome_4,Effect_Size_Type_Outcome_5,Effect_Size_Type_Outcome_6,Effect_Size_Type_Outcome_7,Effect_Size_Type_Outcome_8,Effect_Size_Type_Outcome_9,Effect_Size_Type_Outcome_10
['Post-test adjusted for baseline attainment'],['Post-test adjusted for baseline attainment'],NA,NA,NA,NA,NA,NA,NA,NA
['Post-test unadjusted (select one from this group)'],NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
['Post-test adjusted for baseline attainment'],NA,NA,NA,NA,NA,NA,NA,NA,NA
['Post-test adjusted for baseline attainment AND clustering'],['Post-test adjusted for baseline attainment AND clustering'],['Post-test adjusted for baseline attainment AND clustering'],['Post-test adjusted for baseline attainment AND clustering'],NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
['Post-test adjusted for baseline attainment'],['Post-test adjusted for baseline attainment'],NA,NA,NA,NA,NA,NA,NA,NA
['Pre-post gain'],NA,NA,NA,NA,NA,NA,NA,NA,NA
['Pre-post gain'],NA,NA,NA,NA,NA,NA,NA,NA,NA
['Post-test unadjusted (select one from this group)'],['Pre-post gain'],['Post-test unadjusted (select one from this group)'],['Pre-post gain'],['Post-test unadjusted (select one from this group)'],['Pre-post gain'],['Post-test unadjusted (select one from this group)'],['Pre-post gain'],NA,NA
['Post-test unadjusted (select one from this group)'],NA,NA,NA,NA,NA,NA,NA,NA,NA
['Post-test unadjusted (select one from this group)'],NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
['Post-test adjusted for baseline attainment'],['Post-test adjusted for baseline attainment'],NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
['Post-test adjusted for baseline attainment'],['Post-test adjusted for baseline attainment'],NA,NA,NA,NA,NA,NA,NA,NA
['Post-test unadjusted (select one from this group)'],NA,NA,NA,NA,NA,NA,NA,NA,NA
['Post-test adjusted for baseline attainment'],NA,NA,NA,NA,NA,NA,NA,NA,NA
['Post-test unadjusted (select one from this group)'],NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
['Post-test adjusted for baseline attainment'],['Post-test adjusted for baseline attainment'],NA,NA,NA,NA,NA,NA,NA,NA
['Post-test unadjusted (select one from this group)'],NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,A,NA,NA,NA,NA,NA,NA,NA,NA
['Post-test unadjusted (select one from this group)'],['Post-test unadjusted (select one from this group)'],['Post-test unadjusted (select one from this group)'],NA,NA,NA,NA,NA,NA,NA
['Post-test adjusted for baseline attainment'],['Post-test adjusted for baseline attainment'],NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
['Post-test unadjusted (select one from this group)'],NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
['Post-test unadjusted (select one from this group)'],NA,NA,NA,NA,NA,NA,NA,NA,NA
['Post-test unadjusted (select one from this group)'],NA,NA,NA,NA,NA,NA,NA,NA,NA
['Post-test adjusted for baseline attainment'],NA,NA,NA,NA,NA,NA,NA,NA,NA
['Post-test unadjusted (select one from this group)'],['Post-test unadjusted (select one from this group)'],NA,NA,NA,NA,NA,NA,NA,NA
['Post-test unadjusted (select one from this group)'],['Post-test unadjusted (select one from this group)'],['Post-test adjusted for baseline attainment AND clustering'],['Post-test adjusted for baseline attainment AND clustering'],['Post-test adjusted for baseline attainment AND clustering'],['Post-test adjusted for baseline attainment AND clustering'],['Post-test adjusted for baseline attainment AND clustering'],['Post-test unadjusted (select one from this group)'],['Post-test unadjusted (select one from this group)'],NA
['Post-test unadjusted (select one from this group)'],['Post-test unadjusted (select one from this group)'],['Post-test unadjusted (select one from this group)'],['Post-test unadjusted (select one from this group)'],['Post-test unadjusted (select one from this group)'],['Post-test unadjusted (select one from this group)'],['Post-test unadjusted (select one from this group)'],NA,NA,NA
['Post-test adjusted for baseline attainment'],['Post-test adjusted for baseline attainment'],NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
['Post-test adjusted for baseline attainment'],['Post-test adjusted for baseline attainment'],NA,NA,NA,NA,NA,NA,NA,NA
['Post-test adjusted for baseline attainment'],['Post-test adjusted for baseline attainment'],['Post-test adjusted for baseline attainment'],NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
['Post-test adjusted for baseline attainment AND clustering'],NA,NA,NA,NA,NA,NA,NA,NA,NA
['Post-test adjusted for baseline attainment'],['Post-test adjusted for baseline attainment'],NA,NA,NA,NA,NA,NA,NA,NA
['Pre-post gain'],['Post-test adjusted for baseline attainment'],['Post-test adjusted for baseline attainment'],['Post-test adjusted for baseline attainment'],['Post-test adjusted for baseline attainment'],NA,NA,NA,NA,NA
['Post-test unadjusted (select one from this group)'],['Post-test unadjusted (select one from this group)'],['Post-test unadjusted (select one from this group)'],['Post-test unadjusted (select one from this group)'],NA,NA,NA,NA,NA,NA
['Pre-post gain'],NA,NA,NA,NA,NA,NA,NA,NA,NA
['Post-test unadjusted (select one from this group)'],['Post-test unadjusted (select one from this group)'],NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
['Pre-post gain'],['Pre-post gain'],['Post-test unadjusted (select one from this group)'],['Post-test unadjusted (select one from this group)'],NA,NA,NA,NA,NA,NA
['Pre-post gain'],['Pre-post gain'],['Post-test unadjusted (select one from this group)'],['Post-test unadjusted (select one from this group)'],NA,NA,NA,NA,NA,NA
['Post-test adjusted for baseline attainment'],NA,NA,NA,NA,NA,NA,NA,NA,NA
['Post-test unadjusted (select one from this group)'],NA,NA,NA,NA,NA,NA,NA,NA,NA
['Post-test adjusted for baseline attainment'],['Post-test adjusted for baseline attainment'],NA,NA,NA,NA,NA,NA,NA,NA
['Post-test unadjusted (select one from this group)'],NA,NA,NA,NA,NA,NA,NA,NA,NA
['Post-test unadjusted (select one from this group)'],NA,NA,NA,NA,NA,NA,NA,NA,NA
['Post-test adjusted for baseline attainment'],NA,NA,NA,NA,NA,NA,NA,NA,NA
['Post-test unadjusted (select one from this group)'],['Post-test unadjusted (select one from this group)'],NA,NA,NA,NA,NA,NA,NA,NA
['Post-test adjusted for baseline attainment'],['Post-test adjusted for baseline attainment'],NA,NA,NA,NA,NA,NA,NA,NA
['Post-test unadjusted (select one from this group)'],['Post-test unadjusted (select one from this group)'],NA,NA,NA,NA,NA,NA,NA,NA
['Post-test adjusted for baseline attainment'],['Post-test adjusted for baseline attainment'],NA,NA,NA,NA,NA,NA,NA,NA
N,A,NA,NA,NA,NA,NA,NA,NA,NA
['Post-test adjusted for baseline attainment'],NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
['Post-test adjusted for baseline attainment'],['Post-test adjusted for baseline attainment'],['Post-test adjusted for baseline attainment'],['Post-test adjusted for baseline attainment'],NA,NA,NA,NA,NA,NA
['Post-test unadjusted (select one from this group)'],NA,NA,NA,NA,NA,NA,NA,NA,NA
['Post-test unadjusted (select one from this group)'],NA,NA,NA,NA,NA,NA,NA,NA,NA
['Post-test adjusted for baseline attainment'],NA,NA,NA,NA,NA,NA,NA,NA,NA
['Post-test adjusted for baseline attainment'],['Post-test adjusted for baseline attainment'],NA,NA,NA,NA,NA,NA,NA,NA
['Post-test adjusted for baseline attainment'],['Post-test adjusted for baseline attainment'],['Post-test adjusted for baseline attainment'],['Post-test adjusted for baseline attainment'],NA,['Post-test adjusted for baseline attainment'],['Post-test adjusted for baseline attainment'],['Post-test adjusted for baseline attainment'],['Post-test adjusted for baseline attainment'],NA
['Post-test adjusted for baseline attainment AND clustering'],['Post-test adjusted for baseline attainment AND clustering'],['Post-test adjusted for baseline attainment'],['Post-test adjusted for baseline attainment'],NA,NA,NA,NA,NA,NA
['Post-test adjusted for baseline attainment'],['Post-test adjusted for baseline attainment'],['Post-test adjusted for baseline attainment'],['Post-test adjusted for baseline attainment'],NA,NA,NA,NA,NA,NA
N,A,NA,NA,NA,NA,NA,NA,NA,NA
['Post-test adjusted for baseline attainment'],['Post-test unadjusted (select one from this group)'],NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
['Post-test adjusted for baseline attainment'],['Post-test adjusted for baseline attainment'],NA,NA,NA,NA,NA,NA,NA,NA
['Post-test adjusted for baseline attainment'],['Post-test adjusted for baseline attainment'],NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
['Pre-post gain'],['Pre-post gain'],['Pre-post gain'],NA,NA,NA,NA,NA,NA,NA
['Post-test adjusted for baseline attainment'],['Post-test adjusted for baseline attainment'],['Post-test adjusted for baseline attainment'],['Post-test adjusted for baseline attainment'],NA,NA,NA,NA,NA,NA
['Post-test adjusted for baseline attainment AND clustering'],['Post-test adjusted for baseline attainment AND clustering'],NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
['Post-test adjusted for baseline attainment'],['Post-test adjusted for baseline attainment'],NA,NA,NA,NA,NA,NA,NA,NA
['Post-test adjusted for baseline attainment'],NA,NA,NA,NA,NA,NA,NA,NA,NA
['Post-test adjusted for baseline attainment'],NA,NA,NA,NA,NA,NA,NA,NA,NA
['Post-test unadjusted (select one from this group)'],['Post-test unadjusted (select one from this group)'],NA,NA,NA,NA,NA,NA,NA,NA
['Post-test unadjusted (select one from this group)'],['Post-test unadjusted (select one from this group)'],NA,NA,NA,NA,NA,NA,NA,NA
['Post-test unadjusted (select one from this group)'],['Post-test unadjusted (select one from this group)'],['Post-test unadjusted (select one from this group)'],NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
['Post-test unadjusted (select one from this group)'],NA,NA,NA,NA,NA,NA,NA,NA,NA
['Pre-post gain'],['Pre-post gain'],NA,NA,NA,NA,NA,NA,NA,NA
['Post-test adjusted for baseline attainment'],['Post-test adjusted for baseline attainment'],NA,NA,NA,NA,NA,NA,NA,NA
['Post-test adjusted for baseline attainment AND clustering'],NA,NA,NA,NA,NA,NA,NA,NA,NA
['Post-test adjusted for baseline attainment'],['Post-test adjusted for baseline attainment'],NA,NA,NA,NA,NA,NA,NA,NA
['Post-test adjusted for baseline attainment'],NA,NA,NA,NA,NA,NA,NA,NA,NA
['Post-test unadjusted (select one from this group)'],['Post-test unadjusted (select one from this group)'],['Post-test unadjusted (select one from this group)'],NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
['Post-test unadjusted (select one from this group)'],['Pre-post gain'],NA,NA,NA,NA,NA,NA,NA,NA
['Post-test unadjusted (select one from this group)'],NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,['Post-test adjusted for baseline attainment AND clustering'],['Post-test adjusted for baseline attainment AND clustering'],['Post-test adjusted for baseline attainment AND clustering'],['Post-test adjusted for baseline attainment AND clustering'],['Post-test adjusted for baseline attainment AND clustering'],['Post-test adjusted for baseline attainment AND clustering'],['Post-test adjusted for baseline attainment AND clustering'],NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
['Post-test unadjusted (select one from this group)'],NA,NA,NA,NA,NA,NA,NA,NA,NA
['Post-test unadjusted (select one from this group)'],NA,NA,NA,NA,NA,NA,NA,NA,NA
['Post-test adjusted for baseline attainment'],['Post-test adjusted for baseline attainment'],['Post-test adjusted for baseline attainment'],NA,NA,NA,NA,NA,NA,NA
['Post-test adjusted for baseline attainment'],['Post-test adjusted for baseline attainment'],['Post-test adjusted for baseline attainment'],NA,NA,NA,NA,NA,NA,NA
['Post-test unadjusted (select one from this group)'],['Post-test unadjusted (select one from this group)'],['Post-test unadjusted (select one from this group)'],NA,NA,NA,NA,NA,NA,NA
['Post-test unadjusted (select one from this group)'],NA,NA,NA,NA,NA,NA,NA,NA,NA
['Post-test adjusted for baseline attainment'],NA,NA,NA,NA,NA,NA,NA,NA,NA
['Post-test unadjusted (select one from this group)'],NA,NA,NA,NA,NA,NA,NA,NA,NA
