id,pub_author,out_type_1,out_label_1,out_tit_1,out_type_2,out_label_2,out_tit_2,out_type_3,out_label_3,out_tit_3,out_type_4,out_label_4,out_tit_4,out_type_5,out_label_5,out_tit_5,out_type_6,out_label_6,out_tit_6,out_type_7,out_label_7,out_tit_7,out_type_8,out_label_8,out_tit_8,out_type_9,out_label_9,out_tit_9
47035344,Bemboom (2013),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Maze Scores,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38296605,Buchanan (2015) Pri,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Progress in English 12 (GL Assessment),['Mathematics primary outcome'],Secondary outcome(s),Progress in Maths 12 (GL Assessment),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38296604,Buchanan (2015) Sec,['Mathematics primary outcome'],Primary outcome,GCSE Maths,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,GCSE English,['Other outcome'],SES/FSM outcome,FSM Only GCSE English Results,['Other outcome'],SES/FSM outcome,FSM Only GCSE Maths Results,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47269781,Cabezas (2011) SGT,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Reading Comprehension ,['Other outcome'],Secondary outcome(s),Use of Language ,['Writing and spelling primary outcome.'],Secondary outcome(s),Text Production ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47035345,Case (2010),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,WRMT Word Identification Posttest  Intervention v control,['Other outcome'],Secondary outcome(s),WRMT Word Attack posttest intervention v control,['Other outcome'],Secondary outcome(s),CTOPP Elison posttest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47035399,Denton (2010),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,"the WJ III (Woodcock et al., 2001) letter-word identiﬁcation",['Other outcome'],Secondary outcome(s),"the WJ III (Woodcock et al., 2001)-Oral Comprehension",['Other outcome'],Secondary outcome(s),Comprehensive Test of Phonological Processing-Blending words,['Other outcome'],Secondary outcome(s),Comprehensive Test of Phonological Processing-Sound matching,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38878251,Ehri (2007) SGT,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,GMRT4 Reading Comprehension,['Other outcome'],Secondary outcome(s),GRMT4 Total Score (Word Decoding & Reading Comprehension),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47035400,Fawcett (2001),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Wechsler Objective Reading Dimension (WORD) Reading Score,['Other outcome'],Secondary outcome(s),Wechsler Objective Reading Dimension (WORD) Spelling Score,['Other outcome'],Secondary outcome(s),Wechsler Objective Reading Dimension (WORD) Literary Score,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38878265,Fien (2011),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Expository Retell,['Other outcome'],Secondary outcome(s),Narrative Retell,['Other outcome'],Secondary outcome(s),Vocabulary Knowledge,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47035376,Fuchs (2002),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Comprehensive Reading Assessment Battery,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47035378,Fuchs (2013),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,NAEP- Total,['Other outcome'],Secondary outcome(s),Comparing Fractions,['Other outcome'],Secondary outcome(s),Fractions Calculations,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47035379,Fuchs (2014),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,NAEP- Total,['Other outcome'],Secondary outcome(s),Fractions Calculations,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47035377,Fuchs (2016),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,NAEP- Total,['Other outcome'],Secondary outcome(s),Word Problems,['Other outcome'],Secondary outcome(s),Calculations ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47035403,Gilbert (2013),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Word Identification,['Other outcome'],Secondary outcome(s),Word attack,['Other outcome'],Secondary outcome(s),Phonemic decoding efficiency,['Other outcome'],Secondary outcome(s),Sight-word efficiency,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38296616,Gorard (2015),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,New Group Reading Test B (NGRT-B),['Other outcome'],SES/FSM outcome,FSM New Group Reading Test (NGRT) Results,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38878252,Gottshall (2007),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Reading Comprehension-Small group tuition,['Other outcome'],Secondary outcome(s),Phonetic Awareness-small group tuition,['Other outcome'],Secondary outcome(s),Reading Accuracy-small group tuition,['Other outcome'],Secondary outcome(s),Reading Fluency-small group tuition,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47035347,Graves (2011),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Oral Reading Fluency,['Other outcome'],Secondary outcome(s),Maze Reading Comprehension,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38878253,Gunn (2005),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Woodcock-Johnson Comprehension Standard Score,['Other outcome'],Secondary outcome(s),Woodcock-Johnson Letter-Word ID Standard Score,['Other outcome'],Secondary outcome(s),Oral Reading Fluency Correct Words Per Minute,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
